Company Name,ASX Code,GICS Sector,GICS Industry,Market Cap Tier,Stated Target Description,Stated Target Year,Stated Net-Zero Year,Target Classification,Source URL,Confidence,Notes
Commonwealth Bank of Australia,CBA,Financials,Banks,Mega,"NZBA member; net zero financed emissions by 2050; thermal coal exit 2030 OECD / 2040 RoW; sectoral pathways for power generation, oil & gas, iron & steel, aluminium; net zero own ops by 2030 (largely achieved via 100% renewable electricity)",2030,2050,Quantitative non-validated,https://www.commbank.com.au/about-us/sustainability/environment.html,High,Big 4 bank; sector pathways disclosed in Climate Report
Westpac Banking Corporation,WBC,Financials,Banks,Mega,"NZBA member; net zero financed emissions 2050; sector targets for upstream oil & gas (-23% by 2030 from 2021), power generation, cement, aluminium, iron & steel, mining; net zero own ops 2025",2030,2050,Quantitative non-validated,https://www.westpac.com.au/about-westpac/sustainability/,High,Big 4 bank; specific sector pathways
National Australia Bank,NAB,Financials,Banks,Mega,"NZBA member; net zero financed emissions 2050; sector targets across thermal coal mining (zero by 2030), oil & gas exposure (-12% by 2030), power gen, cement, aluminium, steel, aviation; net zero own ops 2025",2030,2050,Quantitative non-validated,https://www.nab.com.au/about-us/social-impact/environment,High,Big 4 bank
ANZ Group Holdings,ANZ,Financials,Banks,Mega,"NZBA member; sector pathways for thermal coal mining (zero by 2030), oil & gas (-26% absolute by 2030 from 2020), power generation, cement, steel, aluminium; net zero own ops 2025",2030,2050,Quantitative non-validated,https://www.anz.com.au/about-us/esg/environmental-sustainability/,High,Big 4 bank — note Bendigo IS in SBTi
Macquarie Group,MQG,Financials,Capital Markets,Mega,"Net zero ops 2025 (achieved); net zero financed emissions 2050 across asset finance, equity & debt portfolios; coal phase-out 2024 (achieved)",2030,2050,Quantitative non-validated,https://www.macquarie.com/about/company/sustainability.html,High,Investment bank
Suncorp Group,SUN,Financials,Insurance,Large,Net zero ops 2030; underwriting alignment to NZIA principles; ~50% S1+S2 reduction by 2030 from FY18 baseline,2030,2050,Quantitative non-validated,https://www.suncorpgroup.com.au/about/sustainability,Medium,Insurer
Insurance Australia Group,IAG,Financials,Insurance,Large,Net zero ops 2050; 100% renewable electricity 2025; underwriting alignment to NZIA,2030,2050,Quantitative non-validated,https://www.iag.com.au/sustainability,Medium,Insurer
QBE Insurance Group,QBE,Financials,Insurance,Large,Net zero underwriting 2050; ESG underwriting policies including thermal coal exit 2030 OECD / 2040 RoW; oil sands / Arctic restrictions,,2050,Net-zero only,https://www.qbe.com/sustainability,Medium,Global insurer
Medibank Private,MPL,Financials,Insurance,Large,Net zero S1+S2 by 2030; 100% renewable electricity by 2025,2030,2050,Quantitative non-validated,https://www.medibank.com.au/about/community/sustainability/,Medium,Health insurer
AUB Group,AUB,Financials,Insurance,Mid,Sustainability framework; net zero ambition; targets in development,,2050,Aspirational,https://aubgroup.com.au/sustainability/,Low,Insurance broker
Steadfast Group,SDF,Financials,Insurance,Mid,Net zero ops ambition; ESG framework,,2050,Aspirational,https://www.steadfast.com.au/,Low,Insurance broker
BHP Group Limited,BHP,Materials,Metals & Mining,Mega,30% absolute S1+S2 by 2030 from FY20; net zero ops S1+S2 by 2050; S3 product use intensity reductions for steel-making coal customers; SBTi committed but not validated,2030,2050,Quantitative non-validated,https://www.bhp.com/sustainability,High,Largest miner
Rio Tinto,RIO,Materials,Metals & Mining,Mega,50% absolute S1+S2 by 2030 from 2018 (15% by 2025 interim); net zero ops 2050; aluminium decarbonisation via ELYSIS; iron ore green steel pathways,2030,2050,Quantitative non-validated,https://www.riotinto.com/en/sustainability,High,Major miner
South32,S32,Materials,Metals & Mining,Large,50% S1+S2 reduction by 2035 from 2021; net zero 2050; aluminium smelter renewable power transition,2035,2050,Quantitative non-validated,https://www.south32.net/sustainability,Medium,Diversified miner
Newmont (Newcrest),NEM,Materials,Metals & Mining,Large,30% absolute S1+S2 by 2030 from 2018; net zero 2050; gold-sector decarbonisation pathway,2030,2050,Quantitative non-validated,https://www.newmont.com/sustainability/,Medium,Post-Newcrest acquisition
Fortescue Metals Group,FMG,Materials,Metals & Mining,Large,Real Zero S1+S2 by 2030 (no offsets) — most aggressive in cohort; green hydrogen / ammonia investments via Fortescue Energy,2030,2030,Quantitative non-validated,https://fortescue.com/en/our-impact,High,Was SBTi committed (removed); aggressive 2030 target
