NGER Reporting Entity,Parent / Owner,Stated Target Description,Stated Target Year,Stated Net-Zero Year,Target Classification,Source URL,Confidence,Notes
Stanwell Corporation Limited,QLD Government,"QLD Energy and Jobs Plan: 70% renewable by 2032, 80% by 2035; Stanwell PS retire 2025, Tarong by 2035; net zero ops by 2050",2035,2050,Quantitative non-validated,https://www.stanwell.com/our-business/sustainability/,High,QLD government-owned gentailer; major coal exit underway
C S Energy Limited,QLD Government,"QLD Energy and Jobs Plan: coal exit by 2035 (Callide, Kogan Creek); battery and renewable investments; net zero 2050",2035,2050,Quantitative non-validated,https://www.csenergy.com.au/sustainability,High,QLD government-owned generator
Electricity Generation And Retail Corporation,WA Government (Synergy),WA renewable transition; coal exit Muja and Collie by 2030; net zero ops 2050,2030,2050,Quantitative non-validated,https://www.synergy.net.au/About-us/Sustainability,High,WA gov-owned (Synergy)
Snowy Hydro Limited,Federal Government,100% renewable supply backed by Snowy 2.0 pumped hydro; net zero ops,,2050,Quantitative non-validated,https://www.snowyhydro.com.au/our-scheme/sustainability/,High,Federal-owned
Hydro-Electric Corporation,Tasmanian Government (Hydro Tasmania),Already 100% renewable; net zero ops achieved; Battery of the Nation expansion,,,Quantitative non-validated,https://www.hydro.com.au/clean-energy/our-energy-future,High,TAS gov-owned
Chevron Australia Holdings Pty Ltd,Chevron Corporation (US),Parent: net zero ops 2050; 35% S1+S2 carbon intensity by 2028 from 2016; methane intensity 2.0 kg/100bbl by 2028; Gorgon CCS,2028,2050,Quantitative non-validated,https://australia.chevron.com/our-businesses/sustainability,High,Gorgon CCS shortfall is a known issue
Inpex Holdings Australia Pty Ltd,Inpex Corporation (Japan),Parent: 30% absolute S1+S2 reduction by 2030 from 2019; net zero S1+S2 by 2050; CCS investments,2030,2050,Quantitative non-validated,https://www.inpex.com.au/sustainability/,High,Ichthys LNG operator
Shell Energy Holdings Australia Limited,Shell plc (UK),"Parent: 50% S1+S2 reduction by 2030 from 2016; net zero 2050; pivoting to LNG, renewables, hydrogen",2030,2050,Quantitative non-validated,https://shell.com.au/sustainability,High,Major upstream and gas retailer
Exxonmobil Australia Pty Ltd,ExxonMobil Corporation (US),Parent: net zero ops 2050 ambition; ~20% S1+S2 by 2030 from 2016; less ambitious than peers,2030,2050,Quantitative non-validated,https://corporate.exxonmobil.com/sustainability-and-reports,High,"Bass Strait, Gippsland Basin"
Conocophillips Australia Operations Pty Ltd,ConocoPhillips (US),Parent: 50% absolute S1+S2 by 2030 from 2016; net zero ops 2050; methane intensity targets,2030,2050,Quantitative non-validated,https://www.conocophillips.com/sustainability/,High,"Bayu-Undan, Barossa"
Qgc Midstream Investments Pty Ltd,Shell plc (via QGC),Same as Shell parent — 50% S1+S2 by 2030; net zero 2050,2030,2050,Quantitative non-validated,https://shell.com.au/sustainability,High,Queensland Gas Company subsidiary
Glng Operations Pty Ltd,Santos / Total / Petronas / KOGAS,Mostly aligned with Santos: 26-30% absolute S1+S2 by 2030; net zero ops 2040,2030,2040,Quantitative non-validated,https://www.santos.com/sustainability/,Medium,Gladstone LNG JV
Anglo American Australia Limited,Anglo American plc (UK/SA),Parent: 30% absolute S1+S2 by 2030 from 2016; net zero ops by 2040; sold met coal to Peabody (in transition),2030,2040,Quantitative non-validated,https://www.angloamerican.com/sustainability,High,Met coal assets transitioning
Peabody Australia Holdco Pty Ltd,Peabody Energy (US),Parent: net zero by 2050 ambition; methane reduction; coal-pure-play with limited credible decarb path,,2050,Aspirational,https://www.peabodyenergy.com/Sustainability,Medium,Acquired Anglo's met coal assets
Bm Alliance Coal Operations Pty Limited,BHP / Mitsubishi (sold to Whitehaven 2024),Mostly transitioned to Whitehaven Coal targets; previous BHP S1+S2 30% by 2030,2030,2050,Quantitative non-validated,https://whitehavencoal.com.au/sustainability/,Medium,"Was BMA, now Whitehaven-owned"
Sev.En Global Investments Pty Ltd,Sev.En Energy (Czech),Acquired Loy Yang A from AGL; limited public climate disclosure; coal-pure-play,,,Aspirational,,Low,Pavel Tykač's investment vehicle
Pioneer Sail Holdings Pty Limited,Idemitsu Kosan / Mitsui,Coal mining holding (Boggabri / Maules Creek related); parent Idemitsu has 50% S1+S2 by 2030 from 2017,2030,2050,Aspirational,https://www.idemitsu.com.au/sustainability,Low,Verify ownership structure
Genuity Pty Ltd,Bain Capital / others,Power generator (verify ownership); private equity; limited public disclosure,,,No public target,,Low,Verify
Ig Power Holdings Limited,Marubeni / EnergyAustralia,Millmerran power station (QLD coal); limited published targets,,,Aspirational,,Low,Verify
Bluewaters Power 1 Pty Ltd,Sumitomo / Kansai Electric,WA coal-fired generator; parents have net zero 2050 ambitions,,2050,Aspirational,,Low,Bluewaters PS
Bluewaters Power 2 Pty Ltd,Sumitomo / Kansai Electric,Same as Bluewaters Power 1,,2050,Aspirational,,Low,Bluewaters PS
Energyaustralia Holdings Limited,CLP Holdings (Hong Kong),Net zero 2050; Yallourn coal closure 2028; ~A$3B renewables and storage investments,2030,2050,Quantitative non-validated,https://www.energyaustralia.com.au/about-us/sustainability,High,HK-listed parent with own targets
Nrg Victoria I Pty Ltd,Mitsui / CLP / others,Loy Yang B power station; verify ownership; coal generator,,,Aspirational,,Low,Verify
Rta Holdco Australia 5 Pty Ltd,Rio Tinto,Rio Tinto subsidiary (likely Aluminium ops); aligned with Rio's 50% S1+S2 by 2030 from 2018; net zero 2050,2030,2050,Quantitative non-validated,https://www.riotinto.com/en/sustainability,Medium,Rio Tinto holding entity
Alcoa Australian Holdings Pty Ltd,Alcoa Corporation (US),Parent: 30% absolute S1+S2 by 2025 from 2015 (achieved); net zero S1+S2 by 2050; ELYSIS inert anode tech,2025,2050,Quantitative non-validated,https://www.alcoa.com/sustainability,High,WA refining + smelting
Liberty Primary Metals Australia Pty Ltd,GFG Alliance / Liberty Steel,GREENSTEEL strategy aiming for carbon neutral; execution challenged,2030,2050,Aspirational,https://www.libertyprimarymetals.com/,Low,Whyalla Steel Works
Cement Australia Holdings Pty Ltd,Holcim / Heidelberg Materials,Both parents: net zero 2050 with SBTi-validated near-term targets,2030,2050,SBTi committed,https://www.cementaustralia.com.au/sustainability,Medium,JV — both parents SBTi-validated
Yara Australia Pty Ltd,Yara International (Norway),Parent: ~30% S1+S2 reduction by 2030; green ammonia investments; carbon-neutral fertiliser products,2030,2050,Quantitative non-validated,https://www.yara.com.au/sustainability,High,Pilbara green ammonia plans
